"ond_id","ond_tekst_filmtitel","org_naam_aanvrager","org_naam_fabriek","ond_tekst_lengte_meters","ond_tekst_smalfilm","ond_tekst_categorie","ond_datum_keuring","ond_tekst_weeklijstnummer","ond_tekst_oordeel","ond_tekst_coupures","ond_datum_herkeuring","ond_tekst_herkeuring_weeklijstnummer","ond_tekst_herkeuring_oordeel","ond_tekst_herkeuring_coupures","vwz_url_cinemacontext","vwz_archivelink","ond_UUID"
"16022","Kom Gorilla","Warner Bros. Nederland NV (Amsterdam)","Warner Nat. (A)","586 meter","nee","fictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF043406","NL-HaNA/2.04.60/605///Dossier A3223/","0b93b496-7cc1-102d-a57f-005056a23d00"
"16023","Bouboule, de Ridder van.. (trailer)","FIM Film (Amsterdam)","Sphinx (D)","92 meter","nee","fictie","1933-07-17","257","alle leeftijden","1 in scène",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF001741","NL-HaNA/2.04.60/605///Dossier A3224/","0b93b9b4-7cc1-102d-a57f-005056a23d00"
"16024","Fox Movietone Nieuws 30 Jrg.7.","Netherlands Fox Film Corp. NV (Amsterdam)","Fox (A)","325 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030068","NL-HaNA/2.04.60/605///Dossier A3225/","0b93be28-7cc1-102d-a57f-005056a23d00"
"16025","Scheiden doet lijden","Filma NV (Amsterdam)","Educational (A)","505 meter","nee","fictie","1933-08-14","259","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF046728","NL-HaNA/2.04.60/605///Dossier A3226/","0b93c2ce-7cc1-102d-a57f-005056a23d00"
"16026","Badplaats Lieverdjes","Filma NV (Amsterdam)","Educational (A)","568 meter","nee","fictie","1933-09-01","261","18 jaar","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF037773","NL-HaNA/2.04.60/605///Dossier A3227/","0b93c738-7cc1-102d-a57f-005056a23d00"
"16027","Seizoen in Cairo (trailer)","UFA Film Maatschappij (Amsterdam)","Ufa (D)","96 meter","nee","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF002817","NL-HaNA/2.04.60/605///Dossier A3228/","0b93cbc0-7cc1-102d-a57f-005056a23d00"
"16028","Het verkeerde Kamernummer","UFA Film Maatschappij (Amsterdam)","U.P.C. (A)","549 meter","nee","fictie","1933-08-14","259","14 jaar","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF038669","NL-HaNA/2.04.60/605///Dossier A3229/","0b93d034-7cc1-102d-a57f-005056a23d00"
"16029","Een Proces met Hindernissen","UFA Film Maatschappij (Amsterdam)","U.P.C. (A)","581 meter","nee","fictie","1933-08-14","259","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF040360","NL-HaNA/2.04.60/605///Dossier A3230/","0b93d4a8-7cc1-102d-a57f-005056a23d00"
"16030","Het Rijk der wilde Adelaars","Pelster Films (Amsterdam)","Schonger (D)","2154 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF008884","NL-HaNA/2.04.60/605///Dossier A3231/","0b93d91c-7cc1-102d-a57f-005056a23d00"
"16031","Universal Nieuws 157","Croeze en Bosman NV (Amsterdam)","U.P.C. (A)","222 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030193","NL-HaNA/2.04.60/605///Dossier A3232/","0b93dd9a-7cc1-102d-a57f-005056a23d00"
"16032","Geluidsjournaal Hollands Nieuws 29","Polygoon Filmfabriek NV (Haarlem)","Polygoon (N)","259 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030084","NL-HaNA/2.04.60/605///Dossier A3233/","0b93e2cc-7cc1-102d-a57f-005056a23d00"
"16033","Nederland in klank en beeld C 30","Profilti Filmfabriek NV (Den Haag)","Profilti (N)","262 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030126","NL-HaNA/2.04.60/605///Dossier A3234/","0b93e740-7cc1-102d-a57f-005056a23d00"
"16034","Cityfilm Geluidsjournaal A 8","City Film NV (Den Haag)","Pathé(F)","309 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF035148","NL-HaNA/2.04.60/605///Dossier A3235/","0b93ebbe-7cc1-102d-a57f-005056a23d00"
