"ond_id","ond_tekst_filmtitel","org_naam_aanvrager","org_naam_fabriek","ond_tekst_lengte_meters","ond_tekst_smalfilm","ond_tekst_categorie","ond_datum_keuring","ond_tekst_weeklijstnummer","ond_tekst_oordeel","ond_tekst_coupures","ond_datum_herkeuring","ond_tekst_herkeuring_weeklijstnummer","ond_tekst_herkeuring_oordeel","ond_tekst_herkeuring_coupures","vwz_url_cinemacontext","vwz_archivelink","ond_UUID"
"1","Maatschappij Zeebad Scheveningen","George W. van Biene Theater Publiciteit NV","Mac Djorski","32 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026256","NL-HaNA/2.04.60/460///Dossier 00001/","268f07d0-7cc3-102d-a57f-005056a23d00"
"2","Buurman's Wraak","George W. van Biene Theater Publiciteit NV","Mac Djorski","66 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025188","NL-HaNA/2.04.60/460///Dossier 00002/","0acab4f6-7cc1-102d-a57f-005056a23d00"
"3","De Ster van het Oosten","George W. van Biene Theater Publiciteit NV","Mac Djorski","16 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF027010","NL-HaNA/2.04.60/460///Dossier 00003/","0acab604-7cc1-102d-a57f-005056a23d00"
"4","Meuwsen Hoeden","George W. van Biene Theater Publiciteit NV","Mac Djorski","28 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026333","NL-HaNA/2.04.60/460///Dossier 00004/","0acab6c2-7cc1-102d-a57f-005056a23d00"
"5","Een Automobielroman","George W. van Biene Theater Publiciteit NV","Mac Djorski","48 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025166","NL-HaNA/2.04.60/460///Dossier 00005/","0acab7c6-7cc1-102d-a57f-005056a23d00"
"6","Het geheim van de witte Schakel","George W. van Biene Theater Publiciteit NV","Mac Djorski","41 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025617","NL-HaNA/2.04.60/460///Dossier 00006/","0acab870-7cc1-102d-a57f-005056a23d00"
"7","De Kwelduivel","George W. van Biene Theater Publiciteit NV","Mac Djorski","59 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026142","NL-HaNA/2.04.60/460///Dossier 00007/","0acab910-7cc1-102d-a57f-005056a23d00"
"8","Een reisje naar de maan","George W. van Biene Theater Publiciteit NV","Mac Djorski","54 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026575","NL-HaNA/2.04.60/460///Dossier 00008/","0acab9b0-7cc1-102d-a57f-005056a23d00"
"9","De geheimzinnige kist","George W. van Biene Theater Publiciteit NV","Mac Djorski","50 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025622","NL-HaNA/2.04.60/460///Dossier 00009/","0acaba5a-7cc1-102d-a57f-005056a23d00"
"10","Een amoureuse vertelling","George W. van Biene Theater Publiciteit NV","Mac Djorski","64 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024925","NL-HaNA/2.04.60/460///Dossier 00010/","0acabb04-7cc1-102d-a57f-005056a23d00"
"11","Het geheim van de Kok","George W. van Biene Theater Publiciteit NV","Mac Djorski","46 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025615","NL-HaNA/2.04.60/460///Dossier 00011/","0acabbae-7cc1-102d-a57f-005056a23d00"
"12","Mijnheer Autoleek heeft een wagen gekocht","George W. van Biene Theater Publiciteit NV","Mac Djorski","46 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026340","NL-HaNA/2.04.60/460///Dossier 00012/","0acabc62-7cc1-102d-a57f-005056a23d00"
"13","De Wereldreis van Prijkwal en Pas","George W. van Biene Theater Publiciteit NV","Mac Djorski","66 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF027290","NL-HaNA/2.04.60/460///Dossier 00013/","0acabd0c-7cc1-102d-a57f-005056a23d00"
"14","Het Hemelschrift","George W. van Biene Theater Publiciteit NV","Mac Djorski","106 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024219","NL-HaNA/2.04.60/460///Dossier 00014/","0acabdca-7cc1-102d-a57f-005056a23d00"
"15","Johny Walker","George W. van Biene Theater Publiciteit NV","Mac Djorski","18 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025787","NL-HaNA/2.04.60/460///Dossier 00015/","0acabe7e-7cc1-102d-a57f-005056a23d00"
"16","Nog zoo dom niet","George W. van Biene Theater Publiciteit NV","Mac Djorski","53 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026277","NL-HaNA/2.04.60/460///Dossier 00016/","0acabf32-7cc1-102d-a57f-005056a23d00"
"17","Als je trouwen gaat","George W. van Biene Theater Publiciteit NV","H.H.F.Film My","113 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024201","NL-HaNA/2.04.60/460///Dossier 00017/","0acabff0-7cc1-102d-a57f-005056a23d00"
"18","Orion Journaal D. 9","Orion Filmfabriek NV (Den Haag)","Orion Filmfabriek","228 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030145","NL-HaNA/2.04.60/460///Dossier 00018/","0acac0ae-7cc1-102d-a57f-005056a23d00"
"19","Paramount Journaal 79","City Theater NV (Den Haag)","Paramount","241 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF047545","NL-HaNA/2.04.60/460///Dossier 00019/","0acac176-7cc1-102d-a57f-005056a23d00"
"20","Pathé Revue 11","City Theater NV (Den Haag)","Pathé","209 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF035148","NL-HaNA/2.04.60/460///Dossier 00020/","0acac23e-7cc1-102d-a57f-005056a23d00"
"21","Metro Goldwyn-Mayer Revue 23","City Theater NV (Den Haag)","Metro Goldwyn","314 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030117","NL-HaNA/2.04.60/460///Dossier 00021/","0acac306-7cc1-102d-a57f-005056a23d00"
"22","Hollands Nieuws 9","Polygoon Filmfabriek NV (Haarlem)","Polygoon","162 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF030084","NL-HaNA/2.04.60/460///Dossier 00022/","0acac3ce-7cc1-102d-a57f-005056a23d00"
"23","Buurman's Wraak (Stokvis Banden)","Reens Reclame Onderneming (Den Haag)","v.Vriesland","60 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025189","NL-HaNA/2.04.60/460///Dossier 00023/","0acac4a0-7cc1-102d-a57f-005056a23d00"
"24","Genezen door de Gramophoon. (Willem Sprenger, Passage)","Reens Reclame Onderneming (Den Haag)","v.Vriesland","31 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025637","NL-HaNA/2.04.60/460///Dossier 00024/","0acac572-7cc1-102d-a57f-005056a23d00"
"25","Nederl. Gramophoon Centrale","Reens Reclame Onderneming (Den Haag)","v.Vriesland","36 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026435","NL-HaNA/2.04.60/460///Dossier 00025/","0acac644-7cc1-102d-a57f-005056a23d00"
"26","Studebaker - Watt en Halfwatt","Reens Reclame Onderneming (Den Haag)","v.Vriesland","43 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026857","NL-HaNA/2.04.60/460///Dossier 00026/","0acac720-7cc1-102d-a57f-005056a23d00"
"27","En nu wat voor de dames","Reens Reclame Onderneming (Den Haag)","v.Vriesland","68 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025434","NL-HaNA/2.04.60/460///Dossier 00027/","0acac7fc-7cc1-102d-a57f-005056a23d00"
"28","Scheublin Behangselpapier","Reens Reclame Onderneming (Den Haag)","v.Vriesland","22 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026677","NL-HaNA/2.04.60/460///Dossier 00028/","0acac8ce-7cc1-102d-a57f-005056a23d00"
"29","Overpeinzing. van Merckel Rijwielen","Reens Reclame Onderneming (Den Haag)","v.Vriesland","23 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF027047","NL-HaNA/2.04.60/460///Dossier 00029/","0acac9b4-7cc1-102d-a57f-005056a23d00"
"30","Zuid Hollandsche Bierbrouwerij","Reens Reclame Onderneming (Den Haag)","Neijenhoff","11 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF027459","NL-HaNA/2.04.60/460///Dossier 00030/","0acaca90-7cc1-102d-a57f-005056a23d00"
"31","Het geheim van de chique Vrouw","Reens Reclame Onderneming (Den Haag)","Orion","31 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025613","NL-HaNA/2.04.60/460///Dossier 00031/","0acacb76-7cc1-102d-a57f-005056a23d00"
"32","Bezienswaardigheden van Den Haag","Reens Reclame Onderneming (Den Haag)","v.Vriesland","23 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025059","NL-HaNA/2.04.60/460///Dossier 00032/","0acacc5c-7cc1-102d-a57f-005056a23d00"
"33","Soember Tjoeling","Mr.L.Roodenburg","Haghefilm","415 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF022862","NL-HaNA/2.04.60/460///Dossier 00033/","0acacd42-7cc1-102d-a57f-005056a23d00"
"34","De gelaarsde Kat","Centrale Bond van Ned. Verbruikscoöperaties","H.A.P.","195 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024380","NL-HaNA/2.04.60/460///Dossier 00034/","0acace32-7cc1-102d-a57f-005056a23d00"
"35","Asschepoester","Centrale Bond van Ned. Verbruikscoöperaties","H.A.P.","233 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023549","NL-HaNA/2.04.60/460///Dossier 00035/","0acacf18-7cc1-102d-a57f-005056a23d00"
"36","Jaap en de Boonenstaak","Centrale Bond van Ned. Verbruikscoöperaties","H.A.P.","264 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023888","NL-HaNA/2.04.60/460///Dossier 00036/","0acad012-7cc1-102d-a57f-005056a23d00"
"37","Waarom Juffr. Pieterse lid van de Cooperatie werd","Centrale Bond van Ned. Verbruikscoöperaties","Polygoon","593 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF021554","NL-HaNA/2.04.60/460///Dossier 00037/","0acad102-7cc1-102d-a57f-005056a23d00"
"38","Het avontuur van een leesmaniak","Tuschinski (Rotterdam)","A.Tuschinsky","65 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025174","NL-HaNA/2.04.60/460///Dossier 00038/","0acad1fc-7cc1-102d-a57f-005056a23d00"
"39","Maas Verffabrieken te Haarlem","Enwo (Amsterdam)",,"10 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF026255","NL-HaNA/2.04.60/460///Dossier 00039/","0acad2f6-7cc1-102d-a57f-005056a23d00"
"40","Even tijd voor 'n reclamefilm v/d N.V. Crescent. Cy. te Eindhoven","Enwo (Amsterdam)",,"67 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025467","NL-HaNA/2.04.60/460///Dossier 00040/","0acad45e-7cc1-102d-a57f-005056a23d00"
"41","Gist Vitamine Recl. Film","Enwo (Amsterdam)",,"52 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025660","NL-HaNA/2.04.60/460///Dossier 00041/","0acad562-7cc1-102d-a57f-005056a23d00"
"42","Amati Luidsprekers Recl. Film","Enwo (Amsterdam)",,"68 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024920","NL-HaNA/2.04.60/460///Dossier 00042/","0acad666-7cc1-102d-a57f-005056a23d00"
"43","Victoriawater Oberlahnstein","Enwo (Amsterdam)",,"270 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023929","NL-HaNA/2.04.60/460///Dossier 00043/","0acad76a-7cc1-102d-a57f-005056a23d00"
"44","De Zondebok","Paramount Films NV (Amsterdam)","Paramount","2214 meter","nee","fictie","1928-03-01","1","14 jaar","2 coupures 9.40 M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF004664","NL-HaNA/2.04.60/460///Dossier 00044/","0acad878-7cc1-102d-a57f-005056a23d00"
"45","Drie zielen een Gedachte","C.F.v.Dijl en Zn.","Fischerkosenfilm","29 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF040810","NL-HaNA/2.04.60/460///Dossier 00045/","0acad97c-7cc1-102d-a57f-005056a23d00"
"46","Waar een wieg staat","C.F.v.Dijl en Zn.","Fischerkosenfilm","19 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF044898","NL-HaNA/2.04.60/460///Dossier 00046/","0acada8a-7cc1-102d-a57f-005056a23d00"
"47","Jantje verlaat luilekkerland","George W. van Biene Theater Publiciteit NV","Mac Djorski","24 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025779","NL-HaNA/2.04.60/460///Dossier 00047/","0acadb98-7cc1-102d-a57f-005056a23d00"
"48","Goud voor het oprapen","UFA Film Maatschappij (Amsterdam)","Mack Sennet","594 meter","nee","fictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF039391","NL-HaNA/2.04.60/460///Dossier 00048/","0acadca6-7cc1-102d-a57f-005056a23d00"
"49","Kleine Hartedief","UFA Film Maatschappij (Amsterdam)","Eichberg","2217 meter","nee","fictie","1928-03-01","1","alle leeftijden","2 coupures van 16M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF004559","NL-HaNA/2.04.60/460///Dossier 00049/","0acaddbe-7cc1-102d-a57f-005056a23d00"
"50","Het Vredeswerk in Nederland","Ds.J.B.Th.Hugenholtz","v.Vriesland","254 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023938","NL-HaNA/2.04.60/460///Dossier 00050/","0acaded6-7cc1-102d-a57f-005056a23d00"
"51","De Oorlog in de lucht","Ds.J.B.Th.Hugenholtz","H.A.P.","299 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024005","NL-HaNA/2.04.60/460///Dossier 00051/","0acadfee-7cc1-102d-a57f-005056a23d00"
"52","De Oorlog in Voorbereiding, bedrijf en gevolgen","Ds.J.B.Th.Hugenholtz","Pathé Journaal","955 meter","nee","nonfictie","1928-03-01","1","18 jaar","4-19.90M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF035711","NL-HaNA/2.04.60/460///Dossier 00052/","0acae110-7cc1-102d-a57f-005056a23d00"
"53","De kat en de muis","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","114 meter","nee","fictie","1928-03-01","1","alle leeftijden","4-19.90M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024315","NL-HaNA/2.04.60/460///Dossier 00053/","0acae228-7cc1-102d-a57f-005056a23d00"
"54","De geschiedenis van het papier","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","665 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","4-19.90M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF021555","NL-HaNA/2.04.60/460///Dossier 00054/","0acae354-7cc1-102d-a57f-005056a23d00"
"55","De geysers","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","204 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","4-19.90M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023635","NL-HaNA/2.04.60/460///Dossier 00055/","0acae476-7cc1-102d-a57f-005056a23d00"
"56","Inboorlingen van Centraal Afrika","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","526 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","4-19.90M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF021556","NL-HaNA/2.04.60/460///Dossier 00056/","0acae598-7cc1-102d-a57f-005056a23d00"
"57","De X-Stralen","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","271 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","4-19.90M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023960","NL-HaNA/2.04.60/460///Dossier 00057/","0acae6c4-7cc1-102d-a57f-005056a23d00"
"58","Katoencultuur in de Vereenigde Staten","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","295 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023905","NL-HaNA/2.04.60/460///Dossier 00058/","0acae7fa-7cc1-102d-a57f-005056a23d00"
"59","Kopermijnen in Mexico","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","298 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023722","NL-HaNA/2.04.60/460///Dossier 00059/","0acae926-7cc1-102d-a57f-005056a23d00"
"60","De Kokosboom in Ned. Indië","Katholieke Sociale Actie KSA (Leiden)","Pathé Journaal","263 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023914","NL-HaNA/2.04.60/460///Dossier 00060/","0acaea5c-7cc1-102d-a57f-005056a23d00"
"61","De vroolijke Toovenaar","Coop.Groothandelsvereeniging","Ned.Bioscooptrust","242 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023940","NL-HaNA/2.04.60/460///Dossier 00061/","0acaeb92-7cc1-102d-a57f-005056a23d00"
"62","De groene Kat","UFA Film Maatschappij (Amsterdam)","Hal Roach","615 meter","nee","fictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF036237","NL-HaNA/2.04.60/460///Dossier 00063/","0acaecc8-7cc1-102d-a57f-005056a23d00"
"63","De etalage Pop","UFA Film Maatschappij (Amsterdam)","Mack Sennet","585 meter","nee","fictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF036376","NL-HaNA/2.04.60/460///Dossier 00064/","0acaedfe-7cc1-102d-a57f-005056a23d00"
"64","Een Prachtathleet","UFA Film Maatschappij (Amsterdam)","Radiant","469 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF040364","NL-HaNA/2.04.60/460///Dossier 00065/","0acaef3e-7cc1-102d-a57f-005056a23d00"
"65","Het betooverde huis","UFA Film Maatschappij (Amsterdam)","Standard","542 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF039081","NL-HaNA/2.04.60/460///Dossier 00066/","0acaf07e-7cc1-102d-a57f-005056a23d00"
"66","Buren Lief en Leed","UFA Film Maatschappij (Amsterdam)","First National","2492 meter","nee","fictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF004770","NL-HaNA/2.04.60/460///Dossier 00067/","0acaf1c8-7cc1-102d-a57f-005056a23d00"
"67","Broadway Nachten","UFA Film Maatschappij (Amsterdam)","First National","2121 meter","nee","fictie","1928-03-12","2","14 jaar","1 à 4 M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF004795","NL-HaNA/2.04.60/460///Dossier 00068/","0acaf308-7cc1-102d-a57f-005056a23d00"
"68","Voorheen en Thans","N.V.v.Berkels's Patent","First National","746 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF021557","NL-HaNA/2.04.60/460///Dossier 00069/","0acaf45c-7cc1-102d-a57f-005056a23d00"
"69","""""Zuid Preanger Rubber My. """"""""Agrabinta""""""""""""","Haghe Film (Den Haag)","Haghe Film","748 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF021558","NL-HaNA/2.04.60/460///Dossier 00070/","0acaf5a6-7cc1-102d-a57f-005056a23d00"
"70","Het Crematorium te Westerveld","J.J.Neurenberg","W.Mullens","259 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF023786","NL-HaNA/2.04.60/460///Dossier 00071/","0acaf6f0-7cc1-102d-a57f-005056a23d00"
"71","Boncilla (Reclame Film)","J.Louwerenburg","W.Mullens","68 meter","nee","nonfictie","1928-03-01","1","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF025133","NL-HaNA/2.04.60/460///Dossier 00072/","0acaf9e8-7cc1-102d-a57f-005056a23d00"
"72","Ga weg met dat Paard","Paramount Films NV (Amsterdam)","Christie","438 meter","nee","fictie","1928-03-12","2","14 jaar","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF039674","NL-HaNA/2.04.60/460///Dossier 00073/","0acafb5a-7cc1-102d-a57f-005056a23d00"
"73","IJzeren Hein","Paramount Films NV (Amsterdam)","Christie","440 meter","nee","fictie","1928-03-12","2","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF044183","NL-HaNA/2.04.60/460///Dossier 00074/","0acafcb8-7cc1-102d-a57f-005056a23d00"
"74","Lichtmatroos in zwaren dienst","Paramount Films NV (Amsterdam)","Christie","510 meter","nee","fictie","1928-03-12","2","14 jaar","1 à 4 M",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF043043","NL-HaNA/2.04.60/460///Dossier 00075/","0acafe16-7cc1-102d-a57f-005056a23d00"
"75","De Mummie","Paramount Films NV (Amsterdam)","Christie","520 meter","nee","fictie","1928-03-12","2","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF035801","NL-HaNA/2.04.60/460///Dossier 00076/","0acaff74-7cc1-102d-a57f-005056a23d00"
"76","Achter de Toonbank","Paramount Films NV (Amsterdam)","Christie","566 meter","nee","fictie","1928-03-12","2","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF038208","NL-HaNA/2.04.60/460///Dossier 00077/","0acb00d2-7cc1-102d-a57f-005056a23d00"
"77","Een bolleboos van een matroos","Paramount Films NV (Amsterdam)","Christie","498 meter","nee","fictie","1928-03-12","2","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF040643","NL-HaNA/2.04.60/460///Dossier 00078/","0acb0258-7cc1-102d-a57f-005056a23d00"
"78","Ik zie je liever miet","Paramount Films NV (Amsterdam)","Christie","493 meter","nee","fictie","1928-03-12","2","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF044173","NL-HaNA/2.04.60/460///Dossier 00079/","0acb03c0-7cc1-102d-a57f-005056a23d00"
"79","De Dameskapper","Paramount Films NV (Amsterdam)","Paramount","1864 meter","nee","fictie","1928-03-12","2","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF004394","NL-HaNA/2.04.60/460///Dossier 00080/","0acb0528-7cc1-102d-a57f-005056a23d00"
